"","City","x","y"
"299","Arsenyev",133.27369792,44.15729167
"300","Artemisa",-82.76177536,22.81721015
"301","Artemovsk",93.43878205,54.35032051
"302","Artemovskiy",61.88821429,57.35488095
"303","Artigas",-56.47583334,-30.415
"304","Arua",30.87867914,3.1320805
"305","Arusha",36.68578431,-3.37107843
"306","Arvayheer",102.775,46.26833333
"307","Arviat",-94.05416667,61.10416667
"308","Arxan",119.9375,47.17083333
"309","Arys",68.80182292,42.42578125
"310","Arzamas",43.82318841,55.40643116
"311","As Salt",35.72638889,32.04675926
"312","As Samawah",45.27857981,31.31907277
"313","As Sulaymaniyah",45.42303922,35.56470588
"314","As Sulayyil",45.56712963,20.46342593
"315","As Suwayda",36.5752451,32.70784314
"316","Asahikawa",142.38495989,43.78308823
"317","Asbest",61.46938406,57.00923913
"318","Ascension",-107.99583333,31.09416666
"319","Asela",39.13583333,7.95944444
"320","Ash Shatrah",46.16634616,31.42168803
"321","Ash Shihr",49.60801282,14.76442308
"322","Asha",57.25086478,54.99897799
"323","Ashburton1",171.75755566,-43.89650394
"324","Ashburton2",171.73680461,-43.87813103
"325","Asheville",-82.56204181,35.56582188
"326","Ashgabat",58.36558642,37.94746473
"327","Asino",86.14166667,56.99479167
"328","Asmara",38.92687309,15.32740826
"329","Asosa",34.54333333,10.06083333
"330","Assab",42.73878205,13.00865384
"331","Assis",-50.41877572,-22.6529321
"332","Astana",71.43275043,51.16444301
"333","Asti",8.21392276,44.90477642
"334","Astoria",-123.83305556,46.18416667
"335","Astrakhan",48.02171238,46.35072082
"336","Asuncion",-57.50137897,-25.31861111
"337","Aswan",32.89149543,24.08590183
"338","Asyut",30.94925614,27.44578132
"339","At Bashy",75.80972222,41.16157407
"340","At Taif",40.42305556,21.28861111
"341","Atakpame",1.12169541,7.5308908
"342","Atamyrat",65.20138889,37.82299383
"343","Atar",-13.05113637,20.51704545
"344","Atasu",71.64683333,48.68216667
"345","Atbara",33.99035088,17.71337719
"346","Atbasar",68.35300926,51.81134259
"347","Athabasca",-113.28333333,54.72083334
"348","Athens1",-83.39399641,33.93727599
"349","Athens2",23.72911126,38.02814716
"350","Atherton",145.478125,-17.26666667
